Method,Target_Feature,Effect_Size,AUC_Mean,AUC_Std,Delta_AUC,Normalized_Delta,RSD_QC,RSD_Pat,AUC_Raw_Mean,RSD_QC_Raw
EPOCorrector,0,0.01,0.54320987654321,0.158282486480964,0.058641975308642,5.864196944444507,10.23062911909574,14.700595640232311,0.4845679012345679,9.168907954552049
EPOCorrector,1,0.01,0.5370370370370371,0.1624993405072615,0.0493827160493828,4.938271111111171,22.91369758523992,22.095265046252777,0.4876543209876542,33.77667483416764
EPOCorrector,2,0.01,0.5555555555555556,0.1475683097269373,0.0061728395061728,0.6172838888888978,0.9577971297451172,2.6324420483851574,0.5493827160493827,11.816788244580854
EPOCorrector,3,0.01,0.5617283950617284,0.1485975693482805,0.0802469135802468,8.024690555555633,13.66575750207426,18.48723754593024,0.4814814814814815,14.581531813810592
EPOCorrector,4,0.01,0.5524691358024691,0.2243128680321805,0.0216049382716049,2.1604936111111317,8.569824967236688,11.943039756943037,0.5308641975308642,8.4158085563581
EPOCorrector,5,0.01,0.54320987654321,0.1641325407445473,0.0524691358024692,5.246913055555615,8.580177566088631,13.764691756548544,0.4907407407407407,18.62026229816613
EPOCorrector,6,0.01,0.5432098765432098,0.1476328486802641,0.058641975308642,5.864196944444507,13.544543018577052,18.75879520448709,0.4845679012345678,34.90798298314577
EPOCorrector,7,0.01,0.4938271604938272,0.124761623033381,1.1102230246251563e-16,1.1102229136028652e-14,10.716705486690422,13.93769279863448,0.4938271604938271,30.51096333344792
EPOCorrector,8,0.01,0.5524691358024691,0.1595413331274084,0.0740740740740741,7.407406666666746,6.319012350425171,12.48488588658397,0.478395061728395,25.9828561574089
EPOCorrector,9,0.01,0.5401234567901235,0.1641325407445473,0.0555555555555556,5.555555000000069,13.385478963892943,23.001151391338848,0.4845679012345678,26.47473479327075
EPOCorrector,10,0.01,0.6543209876543209,0.1493648596612699,0.1049382716049381,10.493826111111208,5.247012316373255,14.27649709947942,0.5493827160493827,15.588235109929796
EPOCorrector,11,0.01,0.5339506172839507,0.1542592469086395,0.0524691358024692,5.246913055555615,9.251360091285427,14.566600888318767,0.4814814814814814,40.44292499063709
EPOCorrector,12,0.01,0.5308641975308642,0.1512660587017635,0.0339506172839506,3.395061388888927,7.044223511652296,14.9743165391086,0.4969135802469135,19.679643475519555
EPOCorrector,13,0.01,0.558641975308642,0.1606124917439221,0.0524691358024691,5.246913055555609,23.64840902995032,33.70993869250725,0.5061728395061729,39.63121784075345
