Method,Target_Feature,Effect_Size,AUC_Mean,AUC_Std,Delta_AUC,Normalized_Delta,RSD_QC,RSD_Pat,AUC_Raw_Mean,RSD_QC_Raw
INSOC,0,0.01,0.5,0.18002057495577392,0.015432098765432056,1.5432097222222334,7.599877364060643,12.31406996108878,0.48456790123456794,9.168907954552049
INSOC,1,0.01,0.46913580246913583,0.16944416334951612,-0.018518518518518434,-1.8518516666666769,14.826430790118907,15.413477342909971,0.48765432098765427,33.77667483416764
INSOC,2,0.01,0.5679012345679012,0.14821243461164163,0.01851851851851849,1.8518516666666824,4.5808182913163575,11.028796435582558,0.5493827160493827,11.816788244580854
INSOC,3,0.01,0.49074074074074076,0.15270761576361708,0.00925925925925919,0.9259258333333357,5.543297975992333,11.688524029156158,0.48148148148148157,14.581531813810592
INSOC,4,0.01,0.5648148148148149,0.21114359724058115,0.03395061728395066,3.395061388888927,7.602586936233682,11.213941219982557,0.5308641975308642,8.4158085563581
INSOC,5,0.01,0.47839506172839513,0.17112242315591497,-0.012345679012345623,-1.2345677777777846,7.693354735570218,11.514779126006045,0.49074074074074076,18.620262298166132
INSOC,6,0.01,0.5030864197530864,0.1739383062173503,0.0185185185185186,1.8518516666666935,10.490666073490463,14.17302008277535,0.48456790123456783,34.90798298314577
INSOC,7,0.01,0.47530864197530875,0.1704531021170874,-0.018518518518518323,-1.8518516666666658,26.5653515936725,36.679239830343256,0.4938271604938271,30.510963333447922
INSOC,8,0.01,0.4660493827160494,0.16395833315177072,-0.012345679012345623,-1.2345677777777846,6.4768861363960735,13.753779779295847,0.478395061728395,25.9828561574089
INSOC,9,0.01,0.48148148148148145,0.18002057495577392,-0.003086419753086378,-0.3086419444444434,8.361992946457358,14.605012355826863,0.48456790123456783,26.47473479327075
INSOC,10,0.01,0.6358024691358025,0.19529990147600465,0.0864197530864198,8.641974444444536,5.642489383693631,13.824750796772392,0.5493827160493827,15.588235109929796
INSOC,11,0.01,0.4938271604938272,0.17557361300404803,0.012345679012345734,1.2345677777777957,9.522632347324306,16.55364385442115,0.48148148148148145,40.44292499063709
INSOC,12,0.01,0.47839506172839513,0.16706627904597976,-0.018518518518518434,-1.8518516666666769,7.892790210937663,14.446780845598115,0.49691358024691357,19.679643475519555
INSOC,13,0.01,0.47530864197530864,0.17638558101517962,-0.030864197530864224,-3.086419444444478,17.133341981452688,20.772047498978093,0.5061728395061729,39.63121784075345
INSOC,14,0.01,0.47530864197530864,0.17783778136898684,-0.006172839506172811,-0.6172838888888923,5.979845978586936,13.809842211971462,0.48148148148148145,28.428162006447895
INSOC,15,0.01,0.47839506172839513,0.17943755374998313,-0.0061728395061727,-0.6172838888888812,7.944661158110853,13.389160591325663,0.48456790123456783,30.48030659946083
INSOC,16,0.01,0.4938271604938272,0.16859876893515635,-0.0030864197530863224,-0.3086419444444378,8.064028779994272,18.651124701498265,0.4969135802469135,35.6406719934226
INSOC,17,0.01,0.4938271604938272,0.19145756073173853,0.009259259259259356,0.9259258333333523,3.590162471825733,10.072397863627597,0.48456790123456783,23.1023523310738
INSOC,18,0.01,0.4938271604938272,0.1741025281008698,-0.0061728395061727,-0.6172838888888812,30.26179052601572,43.35771701074359,0.4999999999999999,51.931989871637775
INSOC,19,0.01,0.4876543209876544,0.17475787243076626,0.009259259259259356,0.9259258333333523,14.968777127830304,30.93480501844733,0.478395061728395,61.38349961491213
INSOC,20,0.01,0.49691358024691357,0.193978473610749,0.0,0.0,4.833377862606583,12.192090558656203,0.49691358024691357,23.27253935146643
INSOC,21,0.01,0.5154320987654321,0.18196793793807006,0.015432098765432167,1.5432097222222445,14.044868204333975,23.45524407647676,0.4999999999999999,57.027462171254314
INSOC,22,0.01,0.478395061728395,0.17654752649475422,-0.0432098765432099,-4.320987222222268,9.627189015451917,18.06947957512981,0.5216049382716049,23.062041349470633
INSOC,23,0.01,0.4876543209876544,0.17475787243076626,-0.0030864197530863224,-0.3086419444444378,10.89490766619139,23.986756188937076,0.4907407407407407,39.89587676082198
INSOC,24,0.01,0.48456790123456783,0.16202968825193442,0.0,0.0,8.848946964391422,15.047919296625503,0.48456790123456783,28.89041707997307
INSOC,25,0.01,0.48456790123456794,0.17178913642068824,0.003086419753086489,0.3086419444444545,15.34419675213118,18.237174811882912,0.48148148148148145,33.99107814630658
INSOC,26,0.01,0.5277777777777779,0.16302608205239827,0.018518518518518712,1.8518516666667046,10.646979618261105,18.237321771842286,0.5092592592592592,36.07572107612504
INSOC,27,0.01,0.49074074074074076,0.17858612520357325,0.006172839506172922,0.6172838888889034,37.872472550242684,43.37374116697613,0.48456790123456783,59.97262674574255
INSOC,28,0.01,0.48148148148148145,0.17470335429734454,-0.003086419753086378,-0.3086419444444434,28.041121078132157,28.835777333275463,0.48456790123456783,56.456872012447654
INSOC,29,0.01,0.49691358024691357,0.17393830621735024,0.012345679012345734,1.2345677777777957,27.552390155913127,27.829028279435043,0.48456790123456783,49.61038194674126
INSOC,30,0.01,0.48456790123456783,0.16620879034365754,0.003086419753086378,0.3086419444444434,118.25277711825836,95.62527498400416,0.48148148148148145,128.8599398887483
INSOC,0,0.013,0.5246913580246914,0.18023211506983253,0.00925925925925919,0.7122506574621948,7.599877364060643,12.332899928312523,0.5154320987654322,9.168907954552049
INSOC,1,0.013,0.4660493827160494,0.17799840562094094,-0.012345679012345623,-0.9496675432829292,14.826430790118907,15.40651339574876,0.478395061728395,33.77667483416764
INSOC,2,0.013,0.5709876543209877,0.14763284868026422,0.021604938271604923,1.6619182007451327,4.5808182913163575,11.088771940681601,0.5493827160493828,11.816788244580854
INSOC,3,0.013,0.4938271604938272,0.14859756934828053,0.009259259259259245,0.7122506574621991,5.543297975992333,11.715556916566253,0.48456790123456794,14.581531813810592
INSOC,4,0.013,0.5740740740740741,0.21114359724058115,0.01851851851851849,1.4245013149243981,7.602586936233682,11.279855333074169,0.5555555555555556,8.4158085563581
INSOC,5,0.013,0.47530864197530864,0.15628381359471805,-0.015432098765432112,-1.187084429103668,7.693354735570218,11.50946864933277,0.49074074074074076,18.620262298166132
INSOC,6,0.013,0.49691358024691357,0.16740804472000761,0.012345679012345734,0.9496675432829378,10.490666073490463,14.181876978283828,0.48456790123456783,34.90798298314577
INSOC,7,0.013,0.462962962962963,0.15438270370863955,-0.030864197530864168,-2.374168858207332,26.5653515936725,36.648574666410845,0.4938271604938272,30.510963333447922
INSOC,8,0.013,0.48148148148148145,0.17858612520357325,0.006172839506172811,0.4748337716414646,6.4768861363960735,13.760827498551498,0.47530864197530864,25.9828561574089
INSOC,9,0.013,0.48456790123456794,0.17475787243076626,0.0092592592592593,0.7122506574622034,8.361992946457358,14.617419681539829,0.47530864197530864,26.47473479327075
INSOC,10,0.013,0.6512345679012346,0.19559233972536869,0.0864197530864198,6.647672802980539,5.642489383693631,13.906762511383008,0.5648148148148148,15.588235109929796
INSOC,11,0.013,0.4938271604938271,0.1808652509133779,0.015432098765432056,1.1870844291036637,9.522632347324306,16.539463534118216,0.478395061728395,40.44292499063709
INSOC,12,0.013,0.48765432098765427,0.17028536079177437,0.0030864197530864335,0.23741688582073445,7.892790210937663,14.440234180407503,0.48456790123456783,19.679643475519555
INSOC,13,0.013,0.4722222222222222,0.17906555190568257,-0.03395061728395066,-2.6115857440280705,17.133341981452688,20.781477092543458,0.5061728395061729,39.63121784075345
INSOC,14,0.013,0.47530864197530864,0.1658645536116593,-0.006172839506172811,-0.4748337716414646,5.979845978586936,13.81201799692009,0.48148148148148145,28.428162006447895
INSOC,15,0.013,0.47530864197530864,0.16740804472000761,-0.00925925925925919,-0.7122506574621948,7.944661158110853,13.3838698184631,0.48456790123456783,30.48030659946083
INSOC,16,0.013,0.4938271604938272,0.163434596233009,-0.0030864197530863224,-0.23741688582072593,8.064028779994272,18.677119350083853,0.4969135802469135,35.6406719934226
INSOC,17,0.013,0.5061728395061729,0.2052875203495789,0.021604938271605034,1.6619182007451412,3.590162471825733,10.10182109880624,0.48456790123456783,23.1023523310738
INSOC,18,0.013,0.4907407407407407,0.17665540766980475,0.0,0.0,30.26179052601572,43.291527230231836,0.4907407407407407,51.931989871637775
INSOC,19,0.013,0.48456790123456783,0.17327986231627407,0.0,0.0,14.968777127830304,30.947266396612484,0.48456790123456783,61.38349961491213
INSOC,20,0.013,0.5061728395061729,0.19762729127879164,0.006172839506172867,0.4748337716414689,4.833377862606583,12.225041866557307,0.5,23.27253935146643
INSOC,21,0.013,0.5216049382716049,0.19235106729485044,0.01851851851851849,1.4245013149243981,14.044868204333975,23.4846840689238,0.5030864197530864,57.027462171254314
INSOC,22,0.013,0.49074074074074076,0.18564757088669837,-0.03395061728395049,-2.6115857440280577,9.627189015451917,18.09064941449886,0.5246913580246912,23.062041349470633
INSOC,23,0.013,0.4907407407407407,0.17665540766980475,-0.003086419753086378,-0.23741688582073017,10.89490766619139,23.995175504613865,0.4938271604938271,39.89587676082198
INSOC,24,0.013,0.4938271604938272,0.16603676118904648,0.006172839506172922,0.47483377164147317,8.848946964391422,15.060787394866102,0.48765432098765427,28.89041707997307
INSOC,25,0.013,0.4876543209876544,0.17128934475940258,0.006172839506172922,0.47483377164147317,15.34419675213118,18.234801148901038,0.48148148148148145,33.99107814630658
INSOC,26,0.013,0.5339506172839505,0.16025623439194037,0.02777777777777768,2.136751972386593,10.646979618261105,18.30621341054274,0.5061728395061729,36.07572107612504
INSOC,27,0.013,0.49074074074074076,0.17858612520357325,0.006172839506172922,0.47483377164147317,37.872472550242684,43.4009913272139,0.48456790123456783,59.97262674574255
INSOC,28,0.013,0.48456790123456794,0.17028536079177437,-0.0030864197530863224,-0.23741688582072593,28.041121078132157,28.85468400201272,0.48765432098765427,56.456872012447654
INSOC,29,0.013,0.49074074074074076,0.17322487901731207,0.003086419753086489,0.23741688582073872,27.552390155913127,27.85178949527457,0.48765432098765427,49.61038194674126
INSOC,30,0.013,0.4876543209876544,0.16825942185727175,0.006172839506172922,0.47483377164147317,118.25277711825836,95.66835171333764,0.48148148148148145,128.8599398887483
INSOC,0,0.0169,0.5308641975308642,0.1908595658486458,-1.1102230246251565e-16,-6.569366620896393e-15,7.599877364060643,12.367532043874517,0.5308641975308643,9.168907954552049
INSOC,1,0.0169,0.46913580246913583,0.1754107683750966,-0.003086419753086378,-0.18262837695017758,14.826430790118907,15.406226925498704,0.4722222222222222,33.77667483416764
INSOC,2,0.0169,0.5771604938271605,0.14509455893263162,0.0030864197530864335,0.1826283769501809,4.5808182913163575,11.17761892724755,0.5740740740740741,11.816788244580854
INSOC,3,0.0169,0.5123456790123456,0.15828248648096405,0.012345679012345512,0.7305135078007103,5.543297975992333,11.761595717413725,0.5000000000000001,14.581531813810592
INSOC,4,0.0169,0.5956790123456791,0.21441178312294332,-0.006172839506172645,-0.3652567539003486,7.602586936233682,11.376266569059197,0.6018518518518517,8.4158085563581
