Method,Target_Feature,Effect_Size,AUC_Mean,AUC_Std,Delta_AUC,Normalized_Delta,RSD_QC,RSD_Pat,AUC_Raw_Mean,RSD_QC_Raw
LOESSCorrector,0,0.01,0.4999999999999999,0.14042361933428796,0.015432098765431945,1.5432097222222223,9.061172027315374,12.912066558559928,0.48456790123456794,9.168907954552049
LOESSCorrector,1,0.01,0.4722222222222222,0.14872572596489828,-0.015432098765432056,-1.5432097222222334,22.71649600503362,19.579236138326603,0.48765432098765427,33.77667483416764
LOESSCorrector,2,0.01,0.5462962962962963,0.10143010324169745,-0.0030864197530864335,-0.3086419444444489,8.44856296587375,12.246336905531072,0.5493827160493827,11.816788244580854
LOESSCorrector,3,0.01,0.49074074074074087,0.16090877034243306,0.0092592592592593,0.9259258333333468,6.7897758717201455,12.699175318477465,0.48148148148148157,14.581531813810592
LOESSCorrector,4,0.01,0.558641975308642,0.20764059495745882,0.02777777777777779,2.7777775000000293,8.128683305458335,11.794896291259994,0.5308641975308642,8.4158085563581
LOESSCorrector,5,0.01,0.4506172839506173,0.1450945589326316,-0.04012345679012347,-4.012345277777819,7.384108700175195,12.92248588751977,0.49074074074074076,18.620262298166132
LOESSCorrector,6,0.01,0.478395061728395,0.15370246417270042,-0.006172839506172811,-0.6172838888888923,26.969250862981813,25.213320068015328,0.48456790123456783,34.90798298314577
LOESSCorrector,7,0.01,0.4506172839506173,0.15536682652658296,-0.04320987654320979,-4.320987222222257,27.423039958166196,39.7062119300387,0.4938271604938271,30.510963333447922
LOESSCorrector,8,0.01,0.4660493827160494,0.143907941072528,-0.012345679012345623,-1.2345677777777846,20.362178670907984,21.160045456127147,0.478395061728395,25.9828561574089
LOESSCorrector,9,0.01,0.462962962962963,0.14581496062984836,-0.021604938271604812,-2.16049361111112,21.974189437880476,21.74652615726919,0.48456790123456783,26.47473479327075
LOESSCorrector,10,0.01,0.6419753086419753,0.1944199475064645,0.09259259259259256,9.259258333333422,7.764498314983581,14.500080085726792,0.5493827160493827,15.588235109929796
LOESSCorrector,11,0.01,0.48148148148148145,0.15158060688652683,0.0,0.0,34.10977694837669,29.668938920200986,0.48148148148148145,40.44292499063709
LOESSCorrector,12,0.01,0.4567901234567901,0.1404914404535931,-0.04012345679012347,-4.012345277777819,12.87990105722113,15.694688574239946,0.49691358024691357,19.679643475519555
LOESSCorrector,13,0.01,0.47530864197530864,0.1616765537494913,-0.030864197530864224,-3.086419444444478,31.565739020773613,36.67491726131991,0.5061728395061729,39.63121784075345
LOESSCorrector,14,0.01,0.4722222222222222,0.1538263678318162,-0.009259259259259245,-0.9259258333333412,24.186711498513837,23.703348574063547,0.48148148148148145,28.428162006447895
LOESSCorrector,15,0.01,0.46913580246913583,0.1478262964793586,-0.015432098765432,-1.5432097222222279,24.159908789363303,20.117247117495282,0.48456790123456783,30.48030659946083
LOESSCorrector,16,0.01,0.47530864197530864,0.15183177624998573,-0.021604938271604868,-2.160493611111126,27.02144733459472,27.35016614940562,0.4969135802469135,35.6406719934226
LOESSCorrector,17,0.01,0.4660493827160493,0.14028787873288284,-0.018518518518518545,-1.851851666666688,19.271315904823233,17.288973329093956,0.48456790123456783,23.1023523310738
LOESSCorrector,18,0.01,0.478395061728395,0.15145486600475677,-0.021604938271604868,-2.160493611111126,45.88761619177809,47.29742000841121,0.4999999999999999,51.931989871637775
LOESSCorrector,19,0.01,0.48148148148148145,0.15326801256710043,0.0030864197530864335,0.3086419444444489,60.76792471685657,59.08484837468955,0.478395061728395,61.38349961491213
LOESSCorrector,20,0.01,0.478395061728395,0.1655196009603941,-0.018518518518518545,-1.851851666666688,18.112783743898486,16.74135314781435,0.49691358024691357,23.27253935146643
LOESSCorrector,21,0.01,0.4722222222222222,0.1538263678318162,-0.02777777777777768,-2.777777500000018,48.20690458046629,44.416900892563866,0.4999999999999999,57.027462171254314
LOESSCorrector,22,0.01,0.45679012345679015,0.1476328486802642,-0.06481481481481477,-6.481480833333394,15.082021968387224,22.209795195032672,0.5216049382716049,23.062041349470633
LOESSCorrector,23,0.01,0.48148148148148145,0.15326801256710043,-0.009259259259259245,-0.9259258333333412,38.01173931167578,45.226073930170216,0.4907407407407407,39.89587676082198
LOESSCorrector,24,0.01,0.478395061728395,0.15370246417270042,-0.006172839506172811,-0.6172838888888923,23.010137203332615,23.623210555141213,0.48456790123456783,28.89041707997307
LOESSCorrector,25,0.01,0.47530864197530864,0.1518317762499857,-0.006172839506172811,-0.6172838888888923,31.455555583337265,28.251402659455316,0.48148148148148145,33.99107814630658
LOESSCorrector,26,0.01,0.5061728395061729,0.14917340708141444,-0.0030864197530863224,-0.3086419444444378,26.011758486505776,23.0705342463547,0.5092592592592592,36.07572107612504
LOESSCorrector,27,0.01,0.48148148148148145,0.16090877034243303,-0.003086419753086378,-0.3086419444444434,65.29687366201014,60.637036145217294,0.48456790123456783,59.97262674574255
LOESSCorrector,28,0.01,0.4660493827160494,0.14210943744717702,-0.018518518518518434,-1.8518516666666769,54.288649692445155,44.066632979868814,0.48456790123456783,56.456872012447654
LOESSCorrector,29,0.01,0.478395061728395,0.15314365716117628,-0.006172839506172811,-0.6172838888888923,43.92507995269898,39.35904066834342,0.48456790123456783,49.61038194674126
LOESSCorrector,30,0.01,0.47530864197530864,0.1466617823520583,-0.006172839506172811,-0.6172838888888923,141.6181276556443,117.15589514514997,0.48148148148148145,128.8599398887483
LOESSCorrector,0,0.013,0.5030864197530864,0.14008402120876814,-0.012345679012345734,-0.9496675432829378,9.061172027315374,12.934656638189573,0.5154320987654322,9.168907954552049
LOESSCorrector,1,0.013,0.478395061728395,0.146271550753985,0.0,0.0,22.71649600503362,19.548687105258743,0.478395061728395,33.77667483416764
LOESSCorrector,2,0.013,0.5617283950617283,0.10039170350179381,0.012345679012345512,0.9496675432829207,8.44856296587375,12.289053113947126,0.5493827160493828,11.816788244580854
LOESSCorrector,3,0.013,0.5,0.15713484026367724,0.015432098765432056,1.1870844291036637,6.7897758717201455,12.733150311080403,0.48456790123456794,14.581531813810592
LOESSCorrector,4,0.013,0.5648148148148149,0.20243713989884676,0.0092592592592593,0.7122506574622034,8.128683305458335,11.84867991836379,0.5555555555555556,8.4158085563581
LOESSCorrector,5,0.013,0.4567901234567901,0.14646679651487252,-0.03395061728395066,-2.6115857440280705,7.384108700175195,12.935469966856731,0.49074074074074076,18.620262298166132
LOESSCorrector,6,0.013,0.47530864197530864,0.14840512691569516,-0.00925925925925919,-0.7122506574621948,26.969250862981813,25.181903596921412,0.48456790123456783,34.90798298314577
LOESSCorrector,7,0.013,0.44135802469135804,0.14955606715537922,-0.05246913580246915,-4.036087058952469,27.423039958166196,39.66792887630812,0.4938271604938272,30.510963333447922
LOESSCorrector,8,0.013,0.462962962962963,0.14284489463464362,-0.012345679012345623,-0.9496675432829292,20.362178670907984,21.148863055018534,0.47530864197530864,25.9828561574089
LOESSCorrector,9,0.013,0.46913580246913583,0.13885459110125917,-0.006172839506172811,-0.4748337716414646,21.974189437880476,21.733157115097292,0.47530864197530864,26.47473479327075
LOESSCorrector,10,0.013,0.6635802469135803,0.19748263300057278,0.09876543209876554,7.5973403462634765,7.764498314983581,14.581431076847482,0.5648148148148148,15.588235109929796
LOESSCorrector,11,0.013,0.48148148148148145,0.15158060688652683,0.0030864197530864335,0.23741688582073445,34.10977694837669,29.640158390611155,0.478395061728395,40.44292499063709
LOESSCorrector,12,0.013,0.4506172839506173,0.146271550753985,-0.033950617283950546,-2.611585744028062,12.87990105722113,15.683383323865439,0.48456790123456783,19.679643475519555
LOESSCorrector,13,0.013,0.48148148148148145,0.16037507477489607,-0.024691358024691412,-1.8993350865658714,31.565739020773613,36.71066524724162,0.5061728395061729,39.63121784075345
LOESSCorrector,14,0.013,0.46913580246913583,0.14840512691569516,-0.012345679012345623,-0.9496675432829292,24.186711498513837,23.681630945434808,0.48148148148148145,28.428162006447895
LOESSCorrector,15,0.013,0.478395061728395,0.15536682652658296,-0.006172839506172811,-0.4748337716414646,24.159908789363303,20.08432968077516,0.48456790123456783,30.48030659946083
LOESSCorrector,16,0.013,0.48148148148148145,0.1493010694129361,-0.015432098765432056,-1.1870844291036637,27.02144733459472,27.33545244947996,0.4969135802469135,35.6406719934226
